日期时间,自动气象站,气温（摄氏）
202409200130,赤鱲角,29.4
202409200130,長洲,27.5
202409200130,清水灣,27.5
202409200130,跑馬地,28.7
202409200130,天文台,29.3
202409200130,香港公園,28.3
202409200130,啟德跑道公園,28.8
202409200130,滘西洲,26.3
202409200130,京士柏,28.5
202409200130,九龍城,28.2
202409200130,觀塘,27.9
202409200130,流浮山,27.2
202409200130,昂坪,23.8
202409200130,北潭涌,25.5
202409200130,坪洲,27.8
202409200130,西貢,28.3
202409200130,沙田,27.9
202409200130,深水埗,28.4
202409200130,筲箕灣,27.8
202409200130,石崗,27.3
202409200130,上水,28.4
202409200130,赤柱,27.6
202409200130,打鼓嶺,26.8
202409200130,大隴,26.2
202409200130,大美督,27.4
202409200130,大帽山,21.6
202409200130,大埔,27.7
202409200130,大老山,24.0
202409200130,山頂,25.4
202409200130,將軍澳,27.6
202409200130,青衣,28.8
202409200130,荃灣可觀,26.1
202409200130,荃灣城門谷,27.1
202409200130,屯門,27.4
202409200130,橫瀾島,28.0
202409200130,濕地公園,27.5
202409200130,黃竹坑,28.2
202409200130,黃大仙,28.5
202409200130,元朗公園,28.0
